,Unnamed: 0,temperature (K),x(1),x(2),ln_gamma_1,ln_gamma_2,cas_number_1,cas_number_2,names_1,names_2,SMILES_x,NAME_x,boilingPoint[K]_x,cas_number_x,SMILES_y,NAME_y,boilingPoint[K]_y,cas_number_y
0,0,298.15,0.0,1.0,1.7115696,0.0,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
1,1,298.15,0.1,0.9,1.35545066,0.01830345,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
2,2,298.15,0.2,0.8,1.07109365,0.06813906,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
3,3,298.15,0.3,0.7,0.8400703,0.14490335,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
4,4,298.15,0.4,0.6,0.64898707,0.24768617,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
5,5,298.15,0.5,0.5,0.48845468,0.37910591,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
6,6,298.15,0.6,0.4,0.35193501,0.54639825,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
7,7,298.15,0.7,0.3,0.23498303,0.76475331,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
8,8,298.15,0.8,0.2,0.13493771,1.06826127,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
9,9,298.15,0.9,0.1,0.05163342,1.5551951,71-43-2,67-56-1,benzene,methanol,c1ccccc1,benzene,353.15,71-43-2,CO,methanol,337.85,67-56-1
