Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water(mg/L),Experimental Solubility in Water(g/L),Experimental Solubility in Water(mol/L),LogS,Temperature,Experiment Reference,Datagroup,Solvation Energy,Dipole Moment,Molecular Volume,Molecular Surface Area,QXX,QYY,QZZ,Standard InChIKey,Cal logP,Cal MR,TPSA,Labute ASA,Balaban J index,Bertz CT index,Isomer
2-METHYLPROPANE,CC(C)C,58.12,000075-28-5,48.8,0.0488,0.000839642,-3.075905784,25,MCAULIFFE.C (1966),G1,0.491636792,0.077253996,64.188,118.204,0.492991017,-0.231223565,-0.261767451,NNPPMTNAJDCUHE-UHFFFAOYSA-N,1.6623,20.512,0,27.83407737,2.323790008,4.754887502,1
ETHYLCYCLOHEXANE,CCC1CCCCC1,112.22,001678-91-7,6.3,0.0063,5.61397E-05,-4.250729715,20,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.528863431,0.047268636,87.237,165.048,0.553033729,-0.029008748,-0.524024981,IIEWJVIFRVWJOD-UHFFFAOYSA-N,2.9767,36.866,0,52.28801468,2.125016255,51.05865003,1
1.2-Dimethylcyclohexane(trans),C[C@H]1CCCC[C@@H]1C,112.2144,006876-23-9,5.2,0.0052,4.63399E-05,-4.334045248,20,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G1,0.588435976,0.029456797,92.3,172.689,1.015767105,-0.365580687,-0.650186419,KVZJLSYJROEPSQ-YUMQZZPRSA-N,2.8326,36.796,0,52.28801468,2.279400271,56.4385619,3
2.2-DIMETHYLPROPANE,CC(C)(C)C,72.15,000463-82-1,33.2,0.0332,0.000460152,-3.337098252,25,YALKOWSKY.SH ET AL. (2010),G1,0.60106185,0.031841322,73.015,135.775,-0.059283608,0.005241708,0.0540419,CRSOQBOWXPBRES-UHFFFAOYSA-N,2.0524,25.129,0,34.19901949,3.023715784,15.509775,1
PROPYLCYCLOPENTANE,CCCC1CCCC1,112.22,002040-96-2,2.04,0.00204,1.81786E-05,-4.740440097,25,SHAW.DG (1989),G1,0.637181252,0.061719268,95.121,177.658,-0.746319492,-0.151860278,0.89817977,KDIAMAVWIJYWHN-UHFFFAOYSA-N,2.9767,36.866,0,52.28801468,2.058404617,51.05865003,1
1.4-DIMETHYLCYCLOHEXANE_(TRANS),CC1CCC(CC1)C,112.22,002207-04-7,3.84,0.00384,3.42185E-05,-4.46573904,25,SHAW.DG (1989),G1,0.65206651,8.11E-05,92.749,172.237,-0.491047201,-0.000136027,0.491183228,QRMPKOFEUHIBNM-UHFFFAOYSA-N,2.8326,36.796,0,52.28801468,2.192377158,48.4385619,1
2.3-DIMETHYLBUTANE,CC(C)C(C)C,86.18,000079-29-8,22.5,0.0225,0.000261081,-3.583223972,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.665053612,0.097002553,84.077,156.016,-0.542395332,0.254688753,0.287706579,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,2.2984,29.676,0,40.5639616,2.993497243,21.01955001,1
2.4-DIMETHYLPENTANE,CC(C)CC(C)C,100.21,000108-08-7,5.5,0.0055,5.48847E-05,-4.260548373,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.706862187,0.115427338,95.429,177.677,-0.552034718,-0.006218249,0.558252967,BZHMBWZPUJHVEE-UHFFFAOYSA-N,2.6885,34.293,0,46.92890371,2.953223175,29.30296891,1
2.3-DIMETHYLPENTANE,CCC(C)C(C)C,100.21,000565-59-3,5.25,0.00525,5.239E-05,-4.280751759,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.717765743,0.10393391,92.119,171.674,-0.503860078,0.073026588,0.43083349,WGECXQBGLLYSFP-UHFFFAOYSA-N,2.6885,34.293,0,46.92890371,3.144208207,37.30296891,2
1.1.3-TRIMETHYLCYCLOPENTANE,CC1CCC(C1)(C)C,112.22,004516-69-2,3.73,0.00373,3.32383E-05,-4.478361433,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.722521427,0.102745952,95.436,178.392,-0.994551154,0.187685085,0.806866069,OBKHYUIZSOIEPG-UHFFFAOYSA-N,2.8326,36.796,0,52.28801468,2.435439721,82.03910002,2
1.1.3-TRIMETHYLCYCLOHEXANE,CC1CCCC(C1)(C)C,126.24,003073-66-3,1.77,0.00177,1.40209E-05,-4.85322372,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.727703456,0.17291883,106.952,199.469,0.919672881,-0.924203429,0.004530548,PYOLJOJPIPCRDP-UHFFFAOYSA-N,3.2227,41.413,0,58.65295679,2.410837013,92.21143267,2
P-MENTHANE,CC1CCC(CC1)C(C)C,140.27,000099-82-1,0.28,0.00028,1.99615E-06,-5.699806766,25,CHEMICALS INSPECTION AND TESTING INSTITU (1992),G1,0.742048516,0.172098714,110.188,207.991,-0.740230864,0.282634999,0.457595865,CFJYNSNXFXLKNS-UHFFFAOYSA-N,3.4687,45.96,0,65.0178989,2.259902596,86.21143267,1
2.2-DIMETHYLPENTANE,CCCC(C)(C)C,100.21,000590-35-2,4.4,0.0044,4.39078E-05,-4.357458386,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.752020982,0.060312544,93,173.991,-0.54011034,0.008979105,0.531131235,CXOWYJMDMMMMJO-UHFFFAOYSA-N,2.8326,34.363,0,46.92890371,3.154490065,38.490225,1
CYCLOPENTANE._PENTYL-,CCCCCC1CCCC1,140.27,003741-00-2,0.115,0.000115,8.19847E-07,-6.086266957,25,KERTES.AS (1989),G1,0.809575057,0.104762559,126.58,235.335,1.525953025,-0.032871592,-1.493081433,HPQURZRDYMUHJI-UHFFFAOYSA-N,3.7569,46.1,0,65.0178989,1.911170111,70.10749561,1
2.2-DIMETHYLHEXANE,CCCCC(C)(C)C,114.23,000590-73-8,0.2,0.0002,1.75085E-06,-5.756750181,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.832859785,0.064467989,106.861,199.234,-0.422266021,0.332881186,0.089384835,FLTJDUOFAQWHDF-UHFFFAOYSA-N,3.2227,38.98,0,53.29384583,3.111766194,47.54887502,1
2.3.4-TRIMETHYLPENTANE,CC(C)C(C)C(C)C,114.23,000565-75-3,2.3,0.0023,2.01348E-05,-4.696052341,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.85528968,0.137770234,103.434,192.754,0.705567731,-0.291642781,-0.41392495,RLPGDEORIPLBNF-UHFFFAOYSA-N,2.9345,38.84,0,53.29384583,3.464226847,45.05865003,1
4-METHYLOCTANE,CCCCC(C)CCC,128.26,002216-34-4,0.115,0.000115,8.96616E-07,-6.047393395,25,KERTES.AS (1989),G1,0.865190051,0.098138617,112.31,211.626,0.255208994,0.169511507,-0.424720501,DOGIHOCMZJUJNR-UHFFFAOYSA-N,3.6128,43.597,0,59.65878794,2.954822573,48,2
2.2.3-TRIMETHYLPENTANE,CCC(C)C(C)(C)C,114.23,000564-02-3,2.4,0.0024,2.10102E-05,-4.677568935,25,RIDDICK.JA ET AL. (1986),G1,0.91461914,0.056023276,103.736,193.103,-0.333752855,-0.009469163,0.343222018,XTDQDBVBDLYELW-UHFFFAOYSA-N,3.0786,38.91,0,53.29384583,3.623281004,56.92878689,2
