InChIKey,solute_id,smiles_canon
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,solute_0,O=C1c2ccccc2C(=O)c2c(Cl)cccc21
BRBKOPJOKNSWSG-UHFFFAOYSA-N,solute_1,NC(N)=NS(=O)(=O)c1ccc(N)cc1
BRPOVUNVTUCYNN-UHFFFAOYSA-N,solute_2,CCC1C(N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1
BWXSXZAIQQSFPW-UHFFFAOYSA-N,solute_3,CCC1(CC)OC(=O)c2cc([N+](=O)[O-])ccc21
CAQHPYSDQFDJAL-UHFFFAOYSA-N,solute_4,O=C1C=Cc2ccccc2C1=NO
CDVNZMKTJIBBBV-UHFFFAOYSA-N,solute_5,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-]
CTJMNBROBOZHAP-UHFFFAOYSA-N,solute_6,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1
DSBMOVYUOIIPDK-UHFFFAOYSA-N,solute_7,CC1(C)NC(=O)N(Cc2ccccc2)C1=O
FCYQIDFMSYIAEB-UHFFFAOYSA-N,solute_8,COCOc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341
GABQNAFEZZDSCM-UHFFFAOYSA-N,solute_9,Nc1ccccc1C(=O)OCC=Cc1ccccc1
GRWAIJBHBCCLGS-UHFFFAOYSA-N,solute_10,O=C(O)Cn1cnnn1
IFEKQNAXDMZERW-UHFFFAOYSA-N,solute_11,NC(Cc1n[nH]c2ccccc12)C(=O)O
IKZBNCORGKYEDZ-UHFFFAOYSA-N,solute_12,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
IMMLSOUHQHJKTL-UHFFFAOYSA-N,solute_13,COC(=O)C(C)NC(=O)COC(=O)CC1=CC=CC=CC1NC1=C(Cl)CC=CC=C1Cl
IMWQMZMZPWIQBE-UHFFFAOYSA-N,solute_14,CC(C=NNC(N)=O)=NNC(N)=O
IZNWACYOILBFEG-UHFFFAOYSA-N,solute_15,Cc1ccc2ccccc2c1[N+](=O)[O-]
JPLCQHHISLYGRA-UHFFFAOYSA-N,solute_16,COc1ccc(NC(=O)C2CC2)cn1
JTAGHJPZEDNHHA-UHFFFAOYSA-N,solute_17,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1
JVPGYYNQTPWXGE-UHFFFAOYSA-N,solute_18,Cc1ccc(-c2nc3ccccc3s2)cc1
JWZZKOKVBUJMES-UHFFFAOYSA-N,solute_19,CC(C)NCC(O)c1ccc(O)c(O)c1
KZJRKRQSDZGHEC-UHFFFAOYSA-N,solute_20,O=C(c1ccccc1)C(F)(F)F
KZOFCELNVLSKGC-UHFFFAOYSA-N,solute_21,COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC
KZTYYGOKRVBIMI-UHFFFAOYSA-N,solute_22,O=S(=O)(c1ccccc1)c1ccccc1
LQLIEICEYDIWLO-UHFFFAOYSA-N,solute_23,CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O
MORLYCDUFHDZKO-UHFFFAOYSA-N,solute_24,O=C(O)CCP(=O)(O)c1ccccc1
MXBNEEHQIDLPLQ-UHFFFAOYSA-N,solute_25,O=C1Nc2ccccc2C(=O)N2CCCC12
NOOBQTYVTDBXTL-UHFFFAOYSA-N,solute_26,NS(=O)(=O)c1nc2ccc(O)cc2s1
NXBNYUSXDBHELA-UHFFFAOYSA-N,solute_27,COc1ccc(C=CC(=O)c2ccccc2O)cc1
PEQHIRFAKIASBK-UHFFFAOYSA-N,solute_28,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
QANMHLXAZMSUEX-UHFFFAOYSA-N,solute_29,c1coc(CNc2ncnc3[nH]cnc23)c1
QSNYNWOQOIJCFV-UHFFFAOYSA-N,solute_30,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
QTSBFJRVBUIZJC-UHFFFAOYSA-N,solute_31,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1
