InChIKey,solute_id,smiles_canon,molecular_weight,TPSA,polarity_class,size_class,hybrid_class
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,solute_0,O=C1c2ccccc2C(=O)c2c(Cl)cccc21,242.66099999999997,34.14,polar,small,"polar,small"
BRBKOPJOKNSWSG-UHFFFAOYSA-N,solute_1,NC(N)=NS(=O)(=O)c1ccc(N)cc1,214.25,124.55999999999999,polar,small,"polar,small"
BRPOVUNVTUCYNN-UHFFFAOYSA-N,solute_2,CCC1C(N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,345.3740000000001,88.56,polar,large,"polar,large"
BWXSXZAIQQSFPW-UHFFFAOYSA-N,solute_3,CCC1(CC)OC(=O)c2cc([N+](=O)[O-])ccc21,235.23899999999998,69.44,polar,small,"polar,small"
CAQHPYSDQFDJAL-UHFFFAOYSA-N,solute_4,O=C1C=Cc2ccccc2C1=NO,173.171,49.66,polar,small,"polar,small"
CDVNZMKTJIBBBV-UHFFFAOYSA-N,solute_5,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],226.14399999999998,123.58000000000001,polar,small,"polar,small"
CTJMNBROBOZHAP-UHFFFAOYSA-N,solute_6,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,317.32000000000005,88.56,polar,large,"polar,large"
DSBMOVYUOIIPDK-UHFFFAOYSA-N,solute_7,CC1(C)NC(=O)N(Cc2ccccc2)C1=O,218.25600000000003,49.410000000000004,polar,small,"polar,small"
FCYQIDFMSYIAEB-UHFFFAOYSA-N,solute_8,COCOc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,331.41200000000015,51.160000000000004,polar,large,"polar,large"
GABQNAFEZZDSCM-UHFFFAOYSA-N,solute_9,Nc1ccccc1C(=O)OCC=Cc1ccccc1,253.30100000000002,52.32000000000001,polar,small,"polar,small"
GRWAIJBHBCCLGS-UHFFFAOYSA-N,solute_10,O=C(O)Cn1cnnn1,128.091,80.89999999999999,polar,small,"polar,small"
IFEKQNAXDMZERW-UHFFFAOYSA-N,solute_11,NC(Cc1n[nH]c2ccccc12)C(=O)O,205.21699999999998,92.0,polar,small,"polar,small"
IKZBNCORGKYEDZ-UHFFFAOYSA-N,solute_12,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,335.3100000000001,88.56,polar,large,"polar,large"
IMMLSOUHQHJKTL-UHFFFAOYSA-N,solute_13,COC(=O)C(C)NC(=O)COC(=O)CC1=CC=CC=CC1NC1=C(Cl)CC=CC=C1Cl,467.34900000000016,93.72999999999999,polar,large,"polar,large"
IMWQMZMZPWIQBE-UHFFFAOYSA-N,solute_14,CC(C=NNC(N)=O)=NNC(N)=O,186.175,134.95999999999998,polar,small,"polar,small"
IZNWACYOILBFEG-UHFFFAOYSA-N,solute_15,Cc1ccc2ccccc2c1[N+](=O)[O-],187.19799999999998,43.14,polar,small,"polar,small"
JPLCQHHISLYGRA-UHFFFAOYSA-N,solute_16,COc1ccc(NC(=O)C2CC2)cn1,192.218,51.22,polar,small,"polar,small"
JTAGHJPZEDNHHA-UHFFFAOYSA-N,solute_17,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,371.43700000000007,88.69000000000001,polar,large,"polar,large"
JVPGYYNQTPWXGE-UHFFFAOYSA-N,solute_18,Cc1ccc(-c2nc3ccccc3s2)cc1,225.31600000000003,12.89,non-polar,small,"non-polar,small"
JWZZKOKVBUJMES-UHFFFAOYSA-N,solute_19,CC(C)NCC(O)c1ccc(O)c(O)c1,211.261,72.72,polar,small,"polar,small"
KZJRKRQSDZGHEC-UHFFFAOYSA-N,solute_20,O=C(c1ccccc1)C(F)(F)F,174.12099999999995,17.07,non-polar,small,"non-polar,small"
KZOFCELNVLSKGC-UHFFFAOYSA-N,solute_21,COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC,357.41000000000014,102.67999999999999,polar,large,"polar,large"
KZTYYGOKRVBIMI-UHFFFAOYSA-N,solute_22,O=S(=O)(c1ccccc1)c1ccccc1,218.277,34.14,polar,small,"polar,small"
LQLIEICEYDIWLO-UHFFFAOYSA-N,solute_23,CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O,263.337,58.56,polar,small,"polar,small"
MORLYCDUFHDZKO-UHFFFAOYSA-N,solute_24,O=C(O)CCP(=O)(O)c1ccccc1,214.15700000000004,74.6,polar,small,"polar,small"
MXBNEEHQIDLPLQ-UHFFFAOYSA-N,solute_25,O=C1Nc2ccccc2C(=O)N2CCCC12,216.23999999999992,49.410000000000004,polar,small,"polar,small"
NOOBQTYVTDBXTL-UHFFFAOYSA-N,solute_26,NS(=O)(=O)c1nc2ccc(O)cc2s1,230.27,93.28000000000002,polar,small,"polar,small"
NXBNYUSXDBHELA-UHFFFAOYSA-N,solute_27,COc1ccc(C=CC(=O)c2ccccc2O)cc1,254.285,46.53,polar,small,"polar,small"
PEQHIRFAKIASBK-UHFFFAOYSA-N,solute_28,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,320.435,0.0,non-polar,large,"non-polar,large"
QANMHLXAZMSUEX-UHFFFAOYSA-N,solute_29,c1coc(CNc2ncnc3[nH]cnc23)c1,215.216,79.63000000000001,polar,small,"polar,small"
QSNYNWOQOIJCFV-UHFFFAOYSA-N,solute_30,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,349.33700000000016,74.57,polar,large,"polar,large"
QTSBFJRVBUIZJC-UHFFFAOYSA-N,solute_31,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1,449.2480000000001,65.5,polar,large,"polar,large"
QVHJQCGUWFKTSE-YFKPBYRVSA-N,solute_32,CC(NC(=O)OC(C)(C)C)C(=O)O,189.21099999999996,75.63,polar,small,"polar,small"
RFMMMVDNIPUKGG-UHFFFAOYSA-N,solute_33,CC(=O)NC(CCC(=O)O)C(=O)O,189.167,103.7,polar,small,"polar,small"
RXKNNAKAVAHBNK-UHFFFAOYSA-N,solute_34,O=[N+]([O-])c1cc[n+]([O-])cc1,140.09799999999998,70.08,polar,small,"polar,small"
SGMHGVVTMOGJMX-UHFFFAOYSA-N,solute_35,O=C(CS)Nc1ccc2ccccc2c1,217.293,29.1,polar,small,"polar,small"
SNWQKAWITMVCQW-UHFFFAOYSA-N,solute_36,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,362.3630000000001,129.64,polar,large,"polar,large"
UAYYWDWWESZIPA-UHFFFAOYSA-N,solute_37,CC1(N)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,331.3470000000001,88.56,polar,large,"polar,large"
UDUNORRTIFRHKX-UHFFFAOYSA-N,solute_38,COC(=O)C(NC(=O)COC(=O)CC1=CC(NC2=C(Cl)C=CC=CC2Cl)C=CC=C1)C(C)C,495.403,93.72999999999999,polar,large,"polar,large"
UFQCLRMJHOWNLX-UHFFFAOYSA-N,solute_39,COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,402.2480000000001,65.5,polar,large,"polar,large"
VHZXNQKVFDBFIK-NBBHSKLNSA-N,solute_40,CC12CCC3C(CC=C4CCCCC43C)C1CC(F)C2=O,290.42199999999997,17.07,non-polar,small,"non-polar,small"
WXMYDHQMJVPNTD-UHFFFAOYSA-N,solute_41,CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,364.35200000000015,114.57999999999998,polar,large,"polar,large"
WZWYJBNHTWCXIM-JLHYYAGUSA-N,solute_42,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,337.38200000000006,99.6,polar,large,"polar,large"
XDLPWPNVUPKKSN-UHFFFAOYSA-N,solute_43,CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,331.3470000000001,74.57,polar,large,"polar,large"
XSKQKDTZQNFCCB-UHFFFAOYSA-N,solute_44,O=[N+]([O-])c1cc2c(cc1CO)OCO2,197.14599999999996,81.83000000000001,polar,small,"polar,small"
YBPAYPRLUDCSEY-UHFFFAOYSA-N,solute_45,NC(=O)Cc1ccc(O)cc1,151.165,63.32000000000001,polar,small,"polar,small"
YIKYNHJUKRTCJL-UHFFFAOYSA-N,solute_46,CCc1occc(=O)c1O,140.13799999999998,50.44,polar,small,"polar,small"
YKGCCFHSXQHWIG-UHFFFAOYSA-N,solute_47,O=c1ccc2nc3ccccc3sc-2c1,213.26100000000002,29.96,polar,small,"polar,small"
YOJAHJGBFDPSDI-UHFFFAOYSA-N,solute_48,COC(=O)c1ccc([N+](=O)[O-])cc1,181.147,69.44,polar,small,"polar,small"
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,solute_49,O=c1c2ccccc2sc2ccccc12,212.273,17.07,non-polar,small,"non-polar,small"
YZVWKHVRBDQPMQ-UHFFFAOYSA-N,solute_50,Nc1ccc2ccc3cccc4ccc1c2c34,217.271,26.02,polar,small,"polar,small"
ZAFYATHCZYHLPB-UHFFFAOYSA-N,solute_51,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,307.39700000000005,37.61000000000001,polar,large,"polar,large"
ZCINFQNVNLHJOV-UHFFFAOYSA-N,solute_52,CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O,214.22099999999998,72.68,polar,small,"polar,small"
ZYJPUMXJBDHSIF-NSHDSACASA-N,solute_53,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)O,265.30899999999997,75.63,polar,small,"polar,small"
OKIRBHVFJGXOIS-UHFFFAOYSA-N,solute_54,CC(C)c1ccccc1C(C)C,162.27599999999995,0.0,non-polar,small,"non-polar,small"
QEPTXDCPBXMWJC-UHFFFAOYSA-N,solute_55,Clc1cc2ccccc2c(Cl)c1Cl,231.50899999999996,0.0,non-polar,small,"non-polar,small"
