,InChIKey,SMILES,LogS
0,AAEVYOVXGOFMJO-UHFFFAOYSA-N,S(C)c1nc(NC(C)C)nc(NC(C)C)n1,-4.1
1,ABICJYZKIYUWEE-UHFFFAOYSA-N,O=[N+]([O-])C1C(=O)NC(=O)NC1=O,-2.28
2,ADIMAYPTOBDMTL-UHFFFAOYSA-N,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,-3.95
3,AEXMKKGTQYQZCS-UHFFFAOYSA-N,C(CC)(CC)(C)C,-4.23
4,AFFLGGQVNFXPEV-UHFFFAOYSA-N,C(=C)CCCCCCCC,-5.51
5,AFOGBLYPWJJVAL-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1,-3.05
6,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(C(=O)O)ccc1,-1.71997
7,AFYCEAFSNDLKSX-UHFFFAOYSA-N,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,-4.001
8,AGAHNABIDCTLHW-UHFFFAOYSA-N,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,-4.347
9,AGMMTXLNIQSRCG-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,-3.29
10,AHJKRLASYNVKDZ-UHFFFAOYSA-N,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-7.199998
11,AIKKULXCBHRFOS-UHFFFAOYSA-N,S=P(SCC(=O)N(C=O)C)(OC)OC,-2.0
12,AIVXUNRQBRKFJO-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCSc2c1,-3.494
13,AKUJBENLRBOFTD-UHFFFAOYSA-N,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(C)C1)CC2O,-4.9
14,AMEKQAFGQBKLKX-UHFFFAOYSA-N,O=C(Nc1ccccc1)C1=C(OCCS1(=O)=O)C,-2.43
15,AMMPGYPPRLWMLW-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OCC)cc1,-3.211
16,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-0.6
17,AMRQXHFXNZFDCH-UHFFFAOYSA-N,O=C(OC(C(=O)NCC)C)Nc1ccccc1,-1.83
18,ANJTVLIZGCUXLD-UHFFFAOYSA-N,O=c1n2c(ccc1)C1CNCC(C2)C1,0.36
19,APSMUYYLXZULMS-UHFFFAOYSA-N,Brc1cc2c(cc1)cccc2,-4.4
20,APTGDJCKNMNFID-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1,-1.539
21,AQCHWTWZEMGIFD-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,-3.78
