InChIKey,smiles_canon,LogS,occurence
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2c(Cl)cccc21,-5.54,1.0
BRBKOPJOKNSWSG-UHFFFAOYSA-N,NC(N)=NS(=O)(=O)c1ccc(N)cc1,-1.98497,1.0
BRPOVUNVTUCYNN-UHFFFAOYSA-N,CCC1C(N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,-3.912,1.0
BWXSXZAIQQSFPW-UHFFFAOYSA-N,CCC1(CC)OC(=O)c2cc([N+](=O)[O-])ccc21,-3.656,1.0
CAQHPYSDQFDJAL-UHFFFAOYSA-N,O=C1C=Cc2ccccc2C1=NO,-2.937,1.0
CDVNZMKTJIBBBV-UHFFFAOYSA-N,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],-2.6,1.0
CTJMNBROBOZHAP-UHFFFAOYSA-N,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.324,1.0
DSBMOVYUOIIPDK-UHFFFAOYSA-N,CC1(C)NC(=O)N(Cc2ccccc2)C1=O,-1.795,1.0
FCYQIDFMSYIAEB-UHFFFAOYSA-N,COCOc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,-1.959,1.0
GABQNAFEZZDSCM-UHFFFAOYSA-N,Nc1ccccc1C(=O)OCC=Cc1ccccc1,-6.042,1.0
GRWAIJBHBCCLGS-UHFFFAOYSA-N,O=C(O)Cn1cnnn1,0.083568,1.0
IFEKQNAXDMZERW-UHFFFAOYSA-N,NC(Cc1n[nH]c2ccccc12)C(=O)O,-1.407,1.0
IKZBNCORGKYEDZ-UHFFFAOYSA-N,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.269,1.0
IMMLSOUHQHJKTL-UHFFFAOYSA-N,COC(=O)C(C)NC(=O)COC(=O)CC1=CC=CC=CC1NC1=C(Cl)CC=CC=C1Cl,-1.45272,1.0
IMWQMZMZPWIQBE-UHFFFAOYSA-N,CC(C=NNC(N)=O)=NNC(N)=O,-1.948,1.0
IZNWACYOILBFEG-UHFFFAOYSA-N,Cc1ccc2ccccc2c1[N+](=O)[O-],-4.272,1.0
JPLCQHHISLYGRA-UHFFFAOYSA-N,COc1ccc(NC(=O)C2CC2)cn1,-2.138,1.0
JTAGHJPZEDNHHA-UHFFFAOYSA-N,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,-1.845,1.0
JVPGYYNQTPWXGE-UHFFFAOYSA-N,Cc1ccc(-c2nc3ccccc3s2)cc1,-4.353,1.0
JWZZKOKVBUJMES-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc(O)c(O)c1,0.14,1.0
KZJRKRQSDZGHEC-UHFFFAOYSA-N,O=C(c1ccccc1)C(F)(F)F,-1.155,1.0
KZOFCELNVLSKGC-UHFFFAOYSA-N,COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC,-2.686,1.0
KZTYYGOKRVBIMI-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)c1ccccc1,-3.64378,1.0
LQLIEICEYDIWLO-UHFFFAOYSA-N,CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O,-2.12,1.0
MORLYCDUFHDZKO-UHFFFAOYSA-N,O=C(O)CCP(=O)(O)c1ccccc1,-3.078,1.0
MXBNEEHQIDLPLQ-UHFFFAOYSA-N,O=C1Nc2ccccc2C(=O)N2CCCC12,-3.745,1.0
NOOBQTYVTDBXTL-UHFFFAOYSA-N,NS(=O)(=O)c1nc2ccc(O)cc2s1,-2.503,1.0
NXBNYUSXDBHELA-UHFFFAOYSA-N,COc1ccc(C=CC(=O)c2ccccc2O)cc1,-5.699,1.0
PEQHIRFAKIASBK-UHFFFAOYSA-N,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-7.8,1.0
QANMHLXAZMSUEX-UHFFFAOYSA-N,c1coc(CNc2ncnc3[nH]cnc23)c1,-3.946,1.0
QSNYNWOQOIJCFV-UHFFFAOYSA-N,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.312,1.0
QTSBFJRVBUIZJC-UHFFFAOYSA-N,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1,-3.523,1.0
QVHJQCGUWFKTSE-YFKPBYRVSA-N,CC(NC(=O)OC(C)(C)C)C(=O)O,-0.74473,1.0
RFMMMVDNIPUKGG-UHFFFAOYSA-N,CC(=O)NC(CCC(=O)O)C(=O)O,-0.711,1.0
RXKNNAKAVAHBNK-UHFFFAOYSA-N,O=[N+]([O-])c1cc[n+]([O-])cc1,-0.68825,1.0
